view_id,query_id,phase,design,protocol,eligibility,status,value,lower,upper,reason,sampling_interval
V10,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V10,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V11,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V11,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V11,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V11,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V11,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,True,point,0.6,0.6,0.6,,"{""clusters"":5,""lower"":0.4,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.8}"
V11,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,False,not_applicable,,,,empty_four_cell_denominator,
V11,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,True,point,0.4666666666666667,0.4666666666666667,0.4666666666666667,,"{""clusters"":5,""lower"":0.2,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.6666666666666666}"
V11,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,
V11,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,True,point,0.0,0.0,0.0,,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V11,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,True,point,0.0,0.0,0.0,,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V11,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V11,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V12,i_3d031958544a8c5247ac8905,f,c1-context-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V12,i_d9f7f47a56f73e0b00390941,f,c1-context-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V12,i_51995fbbe28a6c790ab02462,f,c2-tool-return-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V12,i_66353a38e186af9745a7012f,f,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V12,i_2e2200be6e596b25d03b56c9,g,c1-context-grid,scheduled,True,point,0.6,0.6,0.6,,"{""clusters"":5,""lower"":0.4,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.8}"
V12,i_2dee89a292ad98492a3b2a29,g,c1-context-grid,valid_only,False,not_applicable,,,,empty_four_cell_denominator,
V12,i_a7db05e53e903af24c867e2c,g,c2-tool-return-grid,scheduled,True,point,0.4666666666666667,0.4666666666666667,0.4666666666666667,,"{""clusters"":5,""lower"":0.2,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.6666666666666666}"
V12,i_99fb18bbf02b615f24b30dd4,g,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,
V12,i_63221a8b3fbb859c22ccc1e7,h,c1-context-grid,scheduled,True,point,0.0,0.0,0.0,,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V12,i_d15c48fbf8946b62d1799de0,h,c1-context-grid,valid_only,True,point,0.0,0.0,0.0,,"{""clusters"":5,""lower"":0.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":0.0}"
V12,i_a9b8388644a103fe92cd66c2,h,c2-tool-return-grid,scheduled,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
V12,i_0e989e548b2c68a47360abd8,h,c2-tool-return-grid,valid_only,True,point,1.0,1.0,1.0,,"{""clusters"":5,""lower"":1.0,""method"":""cluster_bootstrap"",""resamples"":10000,""seed"":17017,""upper"":1.0}"
