cost,split,query_id,unit,family_id,metric,condition,seed,budget,rho,truth_status,truth_value,static_status,dynamic_status,static_correct,dynamic_correct,class_
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,34824,0.45,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,38693,0.5,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,42562,0.55,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,46432,0.6,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,50301,0.65,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,54170,0.7,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,58040,0.75,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,61909,0.8,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,65778,0.85,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,69648,0.9,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,73517,0.95,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_failure,0,77387,1.0,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,0,0.0,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,3869,0.05,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,7738,0.1,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,11608,0.15,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,15477,0.2,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,19346,0.25,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,23216,0.3,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,27085,0.35,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,30954,0.4,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,34824,0.45,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,38693,0.5,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,42562,0.55,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,46432,0.6,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,50301,0.65,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,54170,0.7,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,58040,0.75,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,61909,0.8,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,65778,0.85,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,69648,0.9,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,73517,0.95,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,channel_receipt_lifecycle,0,77387,1.0,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,0,0.0,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,3869,0.05,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,7738,0.1,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,11608,0.15,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,15477,0.2,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,19346,0.25,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,23216,0.3,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,27085,0.35,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,30954,0.4,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,34824,0.45,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,38693,0.5,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,42562,0.55,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,46432,0.6,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,50301,0.65,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,54170,0.7,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,58040,0.75,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,61909,0.8,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,65778,0.85,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,69648,0.9,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,73517,0.95,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19119,77387,1.0,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,0,0.0,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,3869,0.05,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,7738,0.1,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,11608,0.15,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,15477,0.2,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,19346,0.25,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,23216,0.3,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,27085,0.35,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,30954,0.4,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,34824,0.45,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,38693,0.5,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,42562,0.55,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,46432,0.6,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,50301,0.65,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,54170,0.7,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,58040,0.75,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,61909,0.8,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,65778,0.85,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,69648,0.9,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,73517,0.95,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_3,19119,77387,1.0,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,0,0.0,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,3869,0.05,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,7738,0.1,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,11608,0.15,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,15477,0.2,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,19346,0.25,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,23216,0.3,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,27085,0.35,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,30954,0.4,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,34824,0.45,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,38693,0.5,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,42562,0.55,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,46432,0.6,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,50301,0.65,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,54170,0.7,point,0,unknown,unknown,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,58040,0.75,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,61909,0.8,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,65778,0.85,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,69648,0.9,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,73517,0.95,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_5,19119,77387,1.0,point,0,point,point,True,True,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19120,0,0.0,point,0,infeasible,infeasible,False,False,same
C1,development,D01_append_journal_01:UEA,D01_append_journal_01,D01_append_journal,UEA,random_1,19120,3869,0.05,point,0,infeasible,infeasible,False,False,same
